Name,Duration,IsExplicit,Id,Uri,Artists,MainArtistName,MainArtistId,Album,AlbumId,PlayedAt
Otro Atardecer,244444,false,0E0DRHf5PfMeor0ZCwB3oT,spotify:track:0E0DRHf5PfMeor0ZCwB3oT,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""The Mar\u00edas"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2sSGPbdZJkaSE2AbcGOACx""}, ""uri"": ""spotify:artist:2sSGPbdZJkaSE2AbcGOACx"", ""href"": ""https://api.spotify.com/v1/artists/2sSGPbdZJkaSE2AbcGOACx"", ""type"": ""artist"", ""id"": ""2sSGPbdZJkaSE2AbcGOACx""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-07-19T13:07:11.555Z
Tarot,237894,false,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Jhay Cortez"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0EFisYRi20PTADoJrifHrz""}, ""uri"": ""spotify:artist:0EFisYRi20PTADoJrifHrz"", ""href"": ""https://api.spotify.com/v1/artists/0EFisYRi20PTADoJrifHrz"", ""type"": ""artist"", ""id"": ""0EFisYRi20PTADoJrifHrz""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-27T21:16:05.061Z
La Corriente,198367,true,1797zYiX4cKosMH836X9Gt,spotify:track:1797zYiX4cKosMH836X9Gt,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Tony Dize"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3LKXWvXFWrkwUzJWxzwVpW""}, ""uri"": ""spotify:artist:3LKXWvXFWrkwUzJWxzwVpW"", ""href"": ""https://api.spotify.com/v1/artists/3LKXWvXFWrkwUzJWxzwVpW"", ""type"": ""artist"", ""id"": ""3LKXWvXFWrkwUzJWxzwVpW""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-27T21:11:12.070Z
Neverita,173119,false,31i56LZnwE6uSu3exoHjtB,spotify:track:31i56LZnwE6uSu3exoHjtB,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-27T21:07:54.051Z
Tarot,237894,false,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Jhay Cortez"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0EFisYRi20PTADoJrifHrz""}, ""uri"": ""spotify:artist:0EFisYRi20PTADoJrifHrz"", ""href"": ""https://api.spotify.com/v1/artists/0EFisYRi20PTADoJrifHrz"", ""type"": ""artist"", ""id"": ""0EFisYRi20PTADoJrifHrz""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-27T21:05:01.069Z
Tarot,237894,false,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Jhay Cortez"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0EFisYRi20PTADoJrifHrz""}, ""uri"": ""spotify:artist:0EFisYRi20PTADoJrifHrz"", ""href"": ""https://api.spotify.com/v1/artists/0EFisYRi20PTADoJrifHrz"", ""type"": ""artist"", ""id"": ""0EFisYRi20PTADoJrifHrz""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-26T21:04:41.760Z
Tarot,237894,false,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Jhay Cortez"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0EFisYRi20PTADoJrifHrz""}, ""uri"": ""spotify:artist:0EFisYRi20PTADoJrifHrz"", ""href"": ""https://api.spotify.com/v1/artists/0EFisYRi20PTADoJrifHrz"", ""type"": ""artist"", ""id"": ""0EFisYRi20PTADoJrifHrz""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-25T03:18:37.223Z
Enséñame a Bailar,176000,false,2NMjggapJcXXM7WccGEBUO,spotify:track:2NMjggapJcXXM7WccGEBUO,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-24T03:17:52.104Z
Aguacero,210989,false,2uflssWlCaJ6CbTMOsUpNI,spotify:track:2uflssWlCaJ6CbTMOsUpNI,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-24T03:14:56.122Z
Party,227628,false,4tYFy8ALRjIZvnvSLw5lxN,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Rauw Alejandro"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq""}, ""uri"": ""spotify:artist:1mcTU81TzQhprhouKaTkpq"", ""href"": ""https://api.spotify.com/v1/artists/1mcTU81TzQhprhouKaTkpq"", ""type"": ""artist"", ""id"": ""1mcTU81TzQhprhouKaTkpq""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-24T03:11:25.108Z
