ds,y
2017-12-17 11:41:12,1
2018-03-18 11:57:49,1
2018-06-18 17:36:46,1
2018-06-18 20:53:17,1
2018-06-20 14:22:41,1
2018-06-20 19:43:55,1
2018-06-21 07:30:55,1
2018-06-21 19:27:31,1
2018-06-21 19:35:05,1
2018-06-25 14:03:42,1
2018-06-26 07:36:02,1
2018-06-27 15:08:03,1
2018-06-28 18:50:21,1
2018-07-04 10:16:59,1
2018-07-09 11:40:22,1
2018-08-06 15:44:42,1
2018-08-23 16:34:06,1
2018-10-02 12:15:44,1
2018-10-02 15:05:41,1
2018-10-02 15:09:59,1
2018-10-02 15:19:11,1
2018-10-02 15:30:48,1
2018-10-02 15:42:21,1
2018-10-02 15:58:58,1
2018-10-04 12:18:20,1
2018-10-04 13:56:53,1
2018-10-05 08:07:21,1
2018-10-05 15:40:18,1
2018-10-05 15:48:56,1
2018-10-31 13:03:32,1
2018-12-10 11:26:15,1
2018-12-25 00:42:05,1
2018-12-25 05:58:04,1
2018-12-25 06:00:52,1
2018-12-25 06:11:35,1
2018-12-25 17:23:48,1
2018-12-25 17:28:32,1
2019-01-06 20:12:20,1
2019-01-06 20:30:12,1
2019-01-09 11:02:24,1
2019-01-09 11:05:03,1
2019-01-09 11:08:52,1
2019-01-09 11:12:37,1
2019-01-09 11:16:30,1
2019-01-09 11:19:43,1
2019-01-09 11:22:33,1
2019-01-09 11:25:50,1
2019-01-09 11:28:59,1
2019-01-09 11:34:00,1
2019-01-09 11:40:53,1
2019-01-09 11:42:05,1
2019-01-09 11:45:17,1
2019-01-09 11:48:07,1
2019-01-09 11:51:25,1
2019-01-09 11:52:35,1
2019-01-09 11:57:35,1
2019-01-09 12:01:25,1
2019-01-09 12:06:10,1
2019-01-09 13:30:48,1
2019-01-09 13:35:47,1
2019-01-09 13:39:38,1
2019-01-09 13:44:23,1
2019-01-09 13:47:51,1
2019-01-09 13:51:21,1
2019-01-09 13:54:38,1
2019-01-09 13:57:27,1
2019-01-09 14:00:45,1
2019-01-09 14:01:53,1
2019-01-09 17:00:04,1
2019-01-09 17:02:53,1
2019-01-09 17:06:11,1
2019-01-09 17:09:20,1
2019-01-09 17:14:20,1
2019-01-09 17:16:37,1
2019-01-09 17:21:36,1
2019-01-09 17:22:21,1
2019-01-09 17:25:34,1
2019-01-09 17:28:23,1
2019-01-09 17:31:41,1
2019-01-09 17:34:50,1
2019-01-09 17:37:03,1
2019-01-09 17:40:05,1
2019-01-09 17:42:22,1
2019-01-09 17:45:36,1
2019-01-09 17:48:25,1
2019-01-09 17:51:44,1
2019-01-09 18:16:27,1
2019-01-09 19:30:56,1
2019-01-09 21:23:35,1
2019-01-09 21:24:54,1
2019-01-09 21:29:54,1
2019-01-09 21:33:45,1
2019-01-09 21:38:30,1
2019-01-09 21:41:58,1
2019-01-09 21:45:28,1
2019-01-10 10:41:48,1
2019-01-10 10:45:03,1
2019-01-10 10:46:19,1
2019-01-10 18:46:27,1
2019-01-10 18:49:16,1
2019-01-10 18:52:34,1
2019-01-10 18:55:43,1
2019-01-10 19:00:45,1
2019-01-10 19:04:35,1
2019-01-10 19:09:20,1
2019-01-10 19:10:21,1
2019-01-10 19:19:53,1
2019-01-10 19:23:23,1
2019-01-10 19:30:48,1
2019-01-11 15:48:16,1
2019-01-12 17:15:03,1
2019-01-12 17:20:10,1
2019-01-12 18:21:19,1
2019-01-14 18:11:22,1
2019-01-14 18:15:13,1
2019-01-14 18:19:57,1
2019-01-14 18:23:25,1
2019-01-14 18:26:56,1
2019-01-14 18:29:48,1
2019-01-15 10:05:08,1
2019-01-15 10:11:00,1
2019-01-15 10:13:49,1
2019-01-15 11:47:33,1
2019-01-15 11:52:33,1
2019-01-15 11:56:23,1
2019-01-15 12:01:08,1
2019-01-15 12:04:33,1
2019-01-16 11:17:05,1
2019-01-17 14:30:45,1
2019-01-17 14:39:29,1
2019-01-17 14:41:48,1
